	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
        19.7708	        9299.44	       0.910339	        0.13815	       0.411682	      0.0287533	   4.22268e-006	  -1.04316e-005	  -1.39375e-005
        19.8712	        9297.53	       0.910259	       0.137973	       0.411601	      0.0283332	   6.46734e-006	  -8.51947e-006	  -1.33114e-005
        19.9717	        9295.92	       0.910192	       0.137783	       0.411594	      0.0280138	     7.848e-006	  -6.52107e-006	  -1.24158e-005
         20.072	        9294.67	        0.91014	       0.137584	        0.41165	      0.0278234	    8.4376e-006	   -4.5907e-006	  -1.13284e-005
        20.1722	        9293.81	       0.910104	       0.137381	       0.411752	      0.0277613	   8.36268e-006	   -2.8477e-006	  -1.01252e-005
        20.2722	        9293.35	       0.910085	       0.137178	       0.411882	      0.0278026	    7.7799e-006	  -1.37106e-006	   -8.8755e-006
        20.3722	        9293.27	       0.910082	        0.13698	       0.412023	      0.0279064	   6.85399e-006	  -1.99987e-007	  -7.63797e-006
        20.4721	        9293.56	       0.910093	       0.136792	       0.412157	      0.0280267	   5.73942e-006	   6.61202e-007	  -6.45923e-006
         20.572	        9294.16	       0.910119	       0.136616	       0.412272	      0.0281229	   4.56742e-006	   1.23524e-006	  -5.37303e-006
        20.6719	        9295.03	       0.910155	       0.136455	       0.412359	      0.0281665	   3.43877e-006	   1.56291e-006	  -4.40075e-006
        20.7718	        9296.11	         0.9102	       0.136312	       0.412413	      0.0281447	   2.42176e-006	    1.6942e-006	  -3.55272e-006
        20.8719	        9297.34	       0.910252	       0.136187	       0.412433	      0.0280596	   1.55451e-006	   1.68067e-006	  -2.83007e-006
        20.9719	        9298.66	       0.910306	       0.136081	       0.412421	      0.0279242	   8.50048e-007	   1.56984e-006	  -2.22689e-006
