
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
11,3000	1126065527,8415	255319713,3418	13203963207,3422	13254352345,9225	0,0850	0,0193	0,9962	4,9976	102,7750	8,8487	0,8549	32,8694	4,7705	60,9684
11,4000	1132903444,8540	256971063,0584	13203110456,1283	13254117475,6879	0,0855	0,0194	0,9962	5,0282	102,7799	8,8484	0,8547	32,8386	4,7707	60,9066
11,5000	1139738969,1115	258621839,8103	13202254083,5447	13253882565,5056	0,0860	0,0195	0,9961	5,0589	102,7847	8,8481	0,8546	32,8077	4,7709	60,8445
11,6000	1146572079,7917	260272038,5689	13201394092,2001	13253647612,8572	0,0865	0,0196	0,9961	5,0894	102,7894	8,8478	0,8544	32,7767	4,7711	60,7823
11,7000	1153402756,0797	261921654,3075	13200530484,7142	13253412615,1945	0,0870	0,0198	0,9960	5,1200	102,7941	8,8474	0,8543	32,7456	4,7713	60,7198
11,8000	1160230977,1682	263570682,0010	13199663263,7176	13253177569,9387	0,0875	0,0199	0,9960	5,1506	102,7987	8,8471	0,8541	32,7143	4,7715	60,6570
11,9000	1167056722,2571	265219116,6261	13198792431,8521	13252942474,4811	0,0881	0,0200	0,9959	5,1812	102,8033	8,8468	0,8540	32,6829	4,7718	60,5941
12,0000	1173879970,5542	266866953,1616	13197917991,7703	13252707326,1825	0,0886	0,0201	0,9959	5,2117	102,8078	8,8465	0,8539	32,6514	4,7720	60,5309
12,1000	1180700701,2745	268514186,5876	13197039946,1360	13252472122,3739	0,0891	0,0203	0,9958	5,2423	102,8123	8,8462	0,8537	32,6198	4,7722	60,4675
12,2000	1187518893,6411	270160811,8867	13196158297,6238	13252236860,3561	0,0896	0,0204	0,9958	5,2728	102,8167	8,8459	0,8536	32,5881	4,7724	60,4039
12,3000	1194334526,8844	271806824,0427	13195273048,9194	13252001537,3997	0,0901	0,0205	0,9957	5,3034	102,8210	8,8456	0,8534	32,5563	4,7726	60,3401
12,4000	1201147580,2428	273452218,0417	13194384202,7195	13251766150,7456	0,0906	0,0206	0,9957	5,3339	102,8253	8,8452	0,8533	32,5244	4,7728	60,2760
12,5000	1207958032,9627	275096988,8715	13193491761,7315	13251530697,6048	0,0912	0,0208	0,9956	5,3644	102,8296	8,8449	0,8531	32,4924	4,7730	60,2117
12,6000	1214765864,2982	276741131,5218	13192595728,6740	13251295175,1581	0,0917	0,0209	0,9956	5,3949	102,8338	8,8446	0,8530	32,4603	4,7733	60,1473
12,7000	1221571053,5115	278384640,9844	13191696106,2766	13251059580,5568	0,0922	0,0210	0,9955	5,4254	102,8379	8,8443	0,8528	32,4280	4,7735	60,0826
12,8000	1228373579,8728	280027512,2528	13190792897,2795	13250823910,9222	0,0927	0,0211	0,9955	5,4559	102,8420	8,8440	0,8526	32,3957	4,7737	60,0176
12,9000	1235173422,6604	281669740,3225	13189886104,4342	13250588163,3460	0,0932	0,0213	0,9954	5,4864	102,8461	8,8437	0,8525	32,3632	4,7739	59,9525
13,0000	1241970561,1608	283311320,1910	13188975730,5028	13250352334,8902	0,0937	0,0214	0,9954	5,5169	102,8501	8,8434	0,8523	32,3307	4,7742	59,8872
13,1000	1248764974,6687	284952246,8578	13188061778,2586	13250116422,5872	0,0942	0,0215	0,9953	5,5473	102,8541	8,8430	0,8522	32,2980	4,7744	59,8217
13,2000	1255556642,4872	286592515,3243	13187144250,4856	13249880423,4396	0,0948	0,0216	0,9953	5,5778	102,8580	8,8427	0,8520	32,2653	4,7746	59,7559
13,3000	1262345543,9277	288232120,5940	13186223149,9787	13249644334,4208	0,0953	0,0218	0,9952	5,6082	102,8619	8,8424	0,8519	32,2324	4,7749	59,6900
13,4000	1269131658,3101	289871057,6724	13185298479,5438	13249408152,4746	0,0958	0,0219	0,9952	5,6387	102,8657	8,8421	0,8517	32,1995	4,7751	59,6239
13,5000	1275914964,9625	291509321,5669	13184370241,9976	13249171874,5153	0,0963	0,0220	0,9951	5,6691	102,8695	8,8418	0,8515	32,1665	4,7754	59,5575
13,6000	1282695443,2220	293146907,2872	13183438440,1676	13248935497,4278	0,0968	0,0221	0,9951	5,6995	102,8733	8,8415	0,8514	32,1333	4,7756	59,4910
13,7000	1289473072,4340	294783809,8449	13182503076,8923	13248699018,0679	0,0973	0,0223	0,9950	5,7299	102,8770	8,8412	0,8512	32,1001	4,7759	59,4243
13,8000	1296247831,9526	296420024,2537	13181564155,0210	13248462433,2620	0,0978	0,0224	0,9950	5,7603	102,8807	8,8408	0,8511	32,0667	4,7761	59,3574
13,9000	1303019701,1408	298055545,5293	13180621677,4137	13248225739,8072	0,0984	0,0225	0,9949	5,7907	102,8843	8,8405	0,8509	32,0333	4,7764	59,2903
14,0000	1309788659,3703	299690368,6898	13179675646,9415	13247988934,4717	0,0989	0,0226	0,9948	5,8211	102,8879	8,8402	0,8507	31,9998	4,7766	59,2230
14,1000	1316554686,0217	301324488,7551	13178726066,4861	13247752013,9943	0,0994	0,0227	0,9948	5,8514	102,8914	8,8399	0,8506	31,9662	4,7769	59,1555
14,2000	1323317760,4844	302957900,7475	13177772938,9401	13247514975,0850	0,0999	0,0229	0,9947	5,8818	102,8950	8,8396	0,8504	31,9325	4,7771	59,0879
14,3000	1330077862,1570	304590599,6912	13176816267,2069	13247277814,4247	0,1004	0,0230	0,9947	5,9121	102,8984	8,8393	0,8502	31,8987	4,7774	59,0200
14,4000	1336834970,4470	306222580,6129	13175856054,2006	13247040528,6653	0,1009	0,0231	0,9946	5,9424	102,9019	8,8389	0,8501	31,8648	4,7776	58,9520
14,5000	1343589064,7711	307853838,5412	13174892302,8463	13246803114,4301	0,1014	0,0232	0,9946	5,9728	102,9053	8,8386	0,8499	31,8308	4,7779	58,8838
14,6000	1350340124,5552	309484368,5069	13173925016,0797	13246565568,3133	0,1019	0,0234	0,9945	6,0031	102,9087	8,8383	0,8497	31,7968	4,7782	58,8154
14,7000	1357088129,2343	311114165,5433	13172954196,8473	13246327886,8804	0,1025	0,0235	0,9945	6,0334	102,9120	8,8380	0,8496	31,7626	4,7784	58,7468
14,8000	1363833058,2530	312743224,6857	13171979848,1064	13246090066,6684	0,1030	0,0236	0,9944	6,0637	102,9153	8,8377	0,8494	31,7284	4,7787	58,6781
14,9000	1370574891,0648	314371540,9717	13171001972,8250	13245852104,1853	0,1035	0,0237	0,9943	6,0939	102,9186	8,8374	0,8492	31,6941	4,7790	58,6092
15,0000	1377313607,1332	315999109,4412	13170020573,9820	13245613995,9109	0,1040	0,0239	0,9943	6,1242	102,9218	8,8370	0,8490	31,6597	4,7792	58,5401
15,1000	1384049185,9307	317625925,1362	13169035654,5668	13245375738,2962	0,1045	0,0240	0,9942	6,1545	102,9250	8,8367	0,8489	31,6252	4,7795	58,4709
15,2000	1390781606,9396	319251983,1013	13168047217,5797	13245137327,7638	0,1050	0,0241	0,9942	6,1847	102,9282	8,8364	0,8487	31,5906	4,7798	58,4015
15,3000	1397510849,6518	320877278,3832	13167055266,0316	13244898760,7081	0,1055	0,0242	0,9941	6,2149	102,9313	8,8361	0,8485	31,5560	4,7801	58,3319
15,4000	1404236893,5688	322501806,0310	13166059802,9441	13244660033,4948	0,1060	0,0243	0,9941	6,2452	102,9344	8,8358	0,8483	31,5213	4,7804	58,2622
15,5000	1410959718,2020	324125561,0960	13165060831,3497	13244421142,4616	0,1065	0,0245	0,9940	6,2754	102,9375	8,8354	0,8482	31,4865	4,7807	58,1923
15,6000	1417679303,0725	325748538,6320	13164058354,2913	13244182083,9178	0,1070	0,0246	0,9940	6,3056	102,9406	8,8351	0,8480	31,4516	4,7809	58,1222
