	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
        19.7755	        9298.86	       0.910343	       0.138154	       0.411688	      0.0243389	   4.20179e-006	  -1.03881e-005	  -1.38725e-005
        19.8757	        9296.95	       0.910263	       0.137977	       0.411609	      0.0241329	   6.43469e-006	  -8.48327e-006	  -1.32469e-005
        19.9759	        9295.34	       0.910196	       0.137787	       0.411603	      0.0239521	   7.80713e-006	  -6.49332e-006	  -1.23534e-005
         20.076	        9294.09	       0.910144	       0.137588	       0.411659	       0.023824	   8.39177e-006	  -4.57158e-006	  -1.12689e-005
        20.1762	        9293.23	       0.910108	       0.137385	       0.411761	      0.0237667	   8.31474e-006	  -2.83686e-006	  -1.00692e-005
        20.2762	        9292.77	       0.910089	       0.137183	       0.411891	       0.023788	   7.73246e-006	  -1.36788e-006	  -8.82339e-006
        20.3762	        9292.69	       0.910085	       0.136986	       0.412031	      0.0238854	   6.80954e-006	  -2.03576e-007	  -7.59049e-006
        20.4761	        9292.97	       0.910097	       0.136797	       0.412165	      0.0240483	   5.70018e-006	   6.52107e-007	  -6.41725e-006
         20.576	        9293.57	       0.910122	       0.136622	       0.412279	      0.0242599	   4.53503e-006	   1.22226e-006	  -5.33729e-006
        20.6757	        9294.44	       0.910159	       0.136461	       0.412365	      0.0245004	   3.41396e-006	   1.54783e-006	  -4.37165e-006
        20.7755	        9295.52	       0.910204	       0.136318	       0.412418	      0.0247489	   2.40427e-006	   1.67869e-006	  -3.53014e-006
        20.8753	        9296.74	       0.910255	       0.136193	       0.412438	      0.0249861	   1.54324e-006	   1.66604e-006	  -2.81341e-006
         20.975	        9298.05	        0.91031	       0.136087	       0.412426	      0.0251959	   8.43476e-007	   1.55686e-006	   -2.2152e-006
