	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
           20.3	        9316.09	       0.911062	        0.15708	       0.414183	  -1.00292e-006	  -1.90018e-009	    -4.851e-009	              0
           20.4	        9316.09	       0.911062	        0.15708	       0.414183	  -1.20631e-006	  -1.97901e-009	  -4.81938e-009	              0
           20.5	        9316.09	       0.911062	        0.15708	       0.414183	  -1.44166e-006	  -2.04567e-009	  -4.79147e-009	              0
           20.6	        9316.08	       0.911062	        0.15708	       0.414183	  -1.71245e-006	  -2.09857e-009	  -4.76853e-009	              0
           20.7	        9316.08	       0.911062	        0.15708	       0.414183	  -2.02188e-006	  -2.13589e-009	  -4.75193e-009	              0
           20.8	        9316.08	       0.911062	        0.15708	       0.414183	  -2.37247e-006	  -2.15547e-009	  -4.74308e-009	              0
           20.9	        9316.07	       0.911062	        0.15708	       0.414183	  -2.76555e-006	  -2.15479e-009	  -4.74339e-009	              0
             21	        9316.07	       0.911062	        0.15708	       0.414183	  -3.20049e-006	  -2.13087e-009	  -4.75419e-009	              0
           21.1	        9316.07	       0.911062	        0.15708	       0.414183	  -3.67385e-006	   -2.0803e-009	  -4.77653e-009	              0
           21.2	        9316.06	       0.911062	        0.15708	       0.414183	  -4.17838e-006	  -1.99923e-009	  -4.81103e-009	              0
           21.3	        9316.05	       0.911062	        0.15708	       0.414184	  -4.70197e-006	  -1.88352e-009	  -4.85749e-009	              0
           21.4	        9316.05	       0.911062	        0.15708	       0.414184	  -5.22698e-006	  -1.72905e-009	   -4.9146e-009	              0
           21.5	        9316.04	       0.911062	        0.15708	       0.414184	  -5.73009e-006	  -1.53235e-009	  -4.97944e-009	              0
           21.6	        9316.03	       0.911062	        0.15708	       0.414185	  -6.18322e-006	  -1.29152e-009	  -5.04726e-009	              0
           21.7	        9316.02	       0.911062	        0.15708	       0.414185	  -6.55595e-006	  -1.00741e-009	  -5.11156e-009	              0
           21.8	        9316.01	       0.911062	        0.15708	       0.414186	  -6.81929e-006	  -6.84903e-010	  -5.16467e-009	              0
           21.9	           9316	       0.911062	        0.15708	       0.414187	  -6.95053e-006	  -3.33592e-010	  -5.19919e-009	              0
             22	        9315.99	       0.911062	        0.15708	       0.414187	  -6.93761e-006	   3.26282e-011	  -5.20978e-009	              0
           22.1	        9315.98	       0.911062	        0.15708	       0.414188	  -6.78173e-006	   3.97365e-010	  -5.19471e-009	              0
           22.2	        9315.97	       0.911062	        0.15708	       0.414189	  -6.49711e-006	   7.44483e-010	  -5.15642e-009	              0
           22.3	        9315.96	       0.911062	        0.15708	       0.414189	  -6.10793e-006	   1.06075e-009	  -5.10075e-009	              0
           22.4	        9315.95	       0.911062	        0.15708	        0.41419	  -5.64375e-006	   1.33743e-009	  -5.03529e-009	              0
